textNo,text
1,elizabeth that we shall meet him at the and that mrs long has promised to introduce him i do not believe mrs long wiu do any such thing she has two of her own she is a selfish woman and i have no opinion of her no more have i said mr and i am to find that you do not depend on her serving you mrs not to make any reply but unable to contain herself began scolding one of her daughters don t keep so for heaven s sake have a little compassion on my nerves you tear them to pieces has no discretion in her said her father she times them ill i do not cough for my own amusement replied when is your next ball to be i to morrow fortnight ay so it is cried her mother and mrs long does not come back tiu the day before so it will be impossible for her to introduce him for she not know him herself then my dear you may have the advantage of your friend and introduce mr to her impossible mr impossible when i am not acquainted with him myself how can you be so i honour your a fortnight s acquaintance is certainly very little one cannot know what a man really is by the end of a t but if we do not venture somebody else will and after all mrs long and her must stand their chance and therefore as she will think it an act of kindness if you decline the office i will take it on myself ft and cl the stared at their father mrs only nonsense nonsense what can be the meaning of that emphatic cried he do you consider the forms of introduction and the stress that is on them as nonsense i cannot quite agree with you there what say you mary for you are a young lady of deep reflection i know and read great hooks and make mary wished to say something very sensible but knew not how while mary is her ideas he continued let us return to mr i am sick of mr cried his wife i am sorry to hear that but why did not you tell me before if i had known as much this morning i certainly would not have called on him it is very but as i have actually paid the visit we cannot escape the acquaintance now the astonishment of the ladies was just what he wished that of mrs perhaps surpassing the rest though when die first tumult of joy was over she began to declare that it was what she had expected all the while how good it was in you my dear mr but i knew should persuade you at last i was sure you loved your girls too well to neglect such an acquaintance well how pleased i am and it is such a good joke too that you i ould have gone this morning and never said a word about it till now now you may cough as much as you choose said mr and as he spoke he left the room fatigued with the of his wife what an excellent father you have girls said she when the door was shut i do not know how you will ever make him amends for his kindness or me ei er for that matter at our time of life it is not so pleasant i tell you to be making new acquaintance every day but for your we would do any thing my love though you are the youngest i dare say mr will dance with yon at the next ball b pride and prejudice oh said stoutly i am not afraid for though i am the youngest i m the the rest of the evening was spent in soon he would return mr visit and when they should ask him to dinner chapter iii not all that mrs however with the assistance of her five daughters could ask on the was sufficient to draw from her any satisfactory description of mr they attacked him in various ways with questions ingenious and distant hut he the skill of them all and they were at last to accept the second hand intelligence of their lady her report was highly favourable sir had been delighted with him he was quite young wonderfully handsome extremely agreeable and to crown the whole he meant to be at the next assembly with a large party nothing could be more delightful to be fond of dancing was a certain step towards falling in love and very lively hopes of mr s heart were entertained if i can but see one of my daughters happily settled at said mrs to her husband and all the others equally well married i shall have nothing to wish for in a few days mr returned mr s visit and sat about ten minutes with him in his library he had entertained hopes of being admitted to a sight of the young ladies of whose beauty he had heard much but he saw only the father the ladies were somewhat more fortunate for they had the advantage of from an upper window that he wore a blue coat and rode a black horse an invitation to dinner was soon afterwards despatched and already had mrs planned the courses that were i l and iâ to do credit to her when an answer arrived which deferred it all mr was obliged to be in town the following day and consequently unable to accept he honour of their invitation c mrs was quite disconcerted she could not imagine what business he could have in town so soon after his arrival in and she began to fear that he might be always flying about from one place to another and never settled at as he ought to be lady her fears a little by the 
1,idea of his being gone to only to get a large party for the ball and a report followed that mr was to bring twelve ladies and seven gentlemen with him to the assembly the girls grieved over such a number of ladies but were comforted the day before the ball by that instead of twelve he had brought only six with him from london his five sisters and a cousin and when the party entered the assembly room it consisted of only five all together mr his two sisters the husband of the eldest and another young man mr was good looking and he had a pleasant countenance and easy unaffected manners his sisters were fine women with an air of decided fashion his brother in law mr merely looked the gentleman but his friend mr soon drew the attention of the room by his fine tall person handsome features noble mien and the report which was in general circulation within five minutes after his entrance of his having ten thousand a year the gentlemen pronounced him to be a fine figure of a man the ladies declared he was much than mr and he was looked at with great admiration for about half the evening till his manners gave a disgust which turned the tide of his popularity for he was discovered to be proud to be above his company and above being pleased and not all his large estate in could then save him from having a most forbidding disagreeable countenance and being unworthy to be compared with his friend mr had soon made himself acquainted with all the principal people in the room he was lively and b pride and danced every dance was angry that the ball closed and talked of giving one himself at such amiable qualities must speak for themselves what a contrast between him and his mend mr danced only once with mrs and once with miss declined being introduced to any other lady and spent the rest of the evening in walking about the room speaking occasionally to one of his own party his character was decided he was the most disagreeable man in the worlds and every body hoped that he would never come there again amongst the most violent against him was mrs whose dislike of his general behaviour was sharpened into particular resentment by his having one of her daughters elizabeth had been obliged by the of gentlemen to sit down for two dances and during part of that time mr had been standing near enough for her to a conversation between him and mr who came from the dance for a few minutes to press his friend to join it come said he i must have you dance i hate to see you standing about by yourself in this stupid manner you had much better dance i certainly shall not you know how i it un less i am particularly acquainted with my partner at such an assembly as this it would be your sisters are engaged and there is not another woman in the room whom it would not be a punishment to me to stand up with i would not be so fastidious as you are cried for a kingdom upon my honour i never met with so many pleasant girls in my life as i have this evening and there are several of them you see pretty you are dancing with the only handsome girl in the room said mr looking at the eldest miss oh she is the most beautiful creature i ever beheld i but there is one of her sisters sitting down just behind you who is very pretty and i dare say very agreeable do let me ask my partner to introduce you which do mean and v a for a moment at â her eye hie th drew his own and coldly said she is tolerable but not handsome enough to tempt me and i am in no humour at present to give consequence to young ladies who are by other men you had better return to your partner and enjoy her smiles for you are wasting your time with me mr followed his advice mr walked off and elizabeth remained with no very cordial feelings towards him she told the story however with great spirit among her friends for she had a lively playful disposition which delighted in any thing ridiculous the evening altogether passed off pleasantly to the whole family mrs had seen her eldest daughter much admired by the party mr had danced with her twice and she had been distinguished by his sisters jane was as much gratified by this as her mother could be though in a way felt jane s pleasure mary had heard herself mentioned to miss as the most accomplished girl in tlie and and had been fortunate enough to be never without partners which was all that they had yet learnt to care for at a ball they returned therefore in good spirits to the village where they lived and of which they were the principal inhabitants they found mr still up with a book he was regardless of time and on the present occasion he had a good deal of curiosity as to the event of an evening which had raised such splendid expectations he had rather hoped that all his wife s views on the stranger would be disappointed but he soon found that he had a very different story to hear oh my dear mr as she entered the room we have had a most delightful evening a most excellent ball i wish you had been there jane was so admired nothing could be like it every body said how well she looked and mr thought her quite beautiful and danced with her twice only think of that my dear he actually danced with her twice and she was the only creature in the room that he 
1,asked a second time first tâ y o tc t and of all he asked miss i was so vexed to see him stand up with her hut however he did not admire her at all indeed can jou know and he seemed quite struck with jane as she was going down the dance so he who she was and got introduced and asked her for the two next then the two third he danced with miss king and the two fourth with maria and the two fifth with jane again and the two sixth with and the if he had had any compassion for me cried her impatiently he would not have danced half so much for god s sake say no more of his partners oh that he had his ankle in the first dance v oh my dear continued mrs i am quite delighted with him he is so excessively handsome and his sisters are charming women i never in my life saw any thing more elegant than their dresses i dare say the lace upon mrs s gown here she was interrupted again mr protested against any description of finery she was therefore obliged to seek another branch of the subject and related with much bitterness of spirit and some exaggeration the shocking of mr but i can assure you she added that does not lose much by not his fancy for he is a most disagreeable horrid man not at all worth pleasing so high and so conceited that there was no enduring him he walked here and he walked there himself so very great not handsome enough to dance with i wish you had been there my dear to have given him one of your set downs i quite the man chapter iv when jane and elizabeth were alone the former who had been cautious in her praise of mr before expressed to her sister how very much she admired him and prejudice he is just what a young man ought to he said she sensible good humoured lively and i never saw such happy manners so much ease with such perfect good breeding he is also handsome replied elizabeth which a young man ought likewise to be if he possibly can his character is thereby complete i was very much flattered by his asking me to dance a second time i did not expect such a compliment did not you did for you but that is one great difference between us compliments always take you by surprise and me never what could be more natural than his asking you again he could not help seeing that you were about times as pretty as every other woman in the room no thanks to his gallantry for that well he certainly is very agreeable and i give you leave to like him you have liked many a person dear i oh you are a great deal too apt you know to like people in general you never see a fault in any body all the world are good and agreeable in your eyes i never heard you speak ill of a human being in my life i would wish not to be hasty in any one but i always speak what i think i know you do and it is that which makes the wonder with your good sense to be so honestly blind to the follies and nonsense of others affectation of is common enough one meets with it every where but to be candid without or design â to take the good of every body s character and make it still better and say nothing of the bad â belongs to you alone and so you like this man s sisters too do you their manners are not equal to his certainly not at first but they are very pleasing women when you converse with them miss is to live with her brother and keep his house and i am much mistaken if we shall not find a very charming neighbour in her elizabeth listened in silence but was not convinced their behaviour at the assembly had not been calculated to b in general and with more of and of temper than her sister and with a judgment too hj any attention to herself she was very little disposed to approve them they were in fact yery fine ladies not deficient in good humour when were pleased nor in the power of being agreeable where they chose it but proud and conceited they were rather handsome had been educated in one of the first private in town had a fortune of twenty thou sand pounds were in the habit of spending more than they ought and of with people of rank and were therefore in every respect entitled to think of themselves and of others they were of a respectable family in the north of â a circumstance more deeply impressed on their memories than that their brother s fortune and own had been acquired by trade mr inherited property to the amount of nearly a hundred thousand pounds from his father who had intended to purchase an estate but did not live to do it mr intended it likewise and sometimes made choice of his county but as he was now provided with a good house and the liberty of a it was doubtful to many of those who best knew the of his temper whether he might not spend the remainder of his days at field and leave the next generation to purchase his sisters were very anxious for his having an estate of his own but though he was now established only as a tenant miss was by no means unwilling to at his table nor was mrs who had married a man of more fashion than fortune less disposed to consider his house as her home when it suited her mr had not l een of age two years 
1,when he was tempted by an accidental recommendation to look at house he did look at it and into it for half an hour was pleased with the situation and the principal rooms satisfied with what the owner said in its praise and took it between him and there was a very steady ship in spite of a great opposition of character bin y ard prejudice was to by the and of his though no offer it greater contrast to bis own and though with his own be never appeared dissatisfied on the strength of s re ard bin ey had the reliance and of his judgment ihe highest opinion in understanding was the superior was by no means deficient bat was he was at the same time reserved and fastidious and his manners though bred were not in that respect bis friend bad greatly the e was sure of being liked wherever be appeared was continually giving offence the manner in which they spoke of the assembly was sufficiently characteristic had never met pleasanter people or prettier girls in bis life every body had been most kind and attentive to him there had been no formality no he bad soon felt acquainted with all the room and as to miss he could not conceive an angel more beautiful on the contrary bad seen a collection of people in whom there was little beauty and no fashion for none of whom he had felt the smallest interest and from none received either attention or pleasure miss he acknowledged to be pretty but she smiled too much mrs and her sister allowed it to be so but still they admired her and liked her and pronounced her to be a sweet girl and one whom they should not object to know more of miss was therefore as a sweet girl and their brother by such com to think of h as be chose chapter v within a short walk of lived a family with whom the particularly intimate sir william bad been formerly in trade in where he pride and prejudice had made a tolerable fortune and to the honour of by an address to the king during his the distinction had perhaps been felt too strongly it had given him a disgust to his business and to his residence in a small market town and them both he had removed with his family to a house about a mile from from that period lodge where he could think with pleasure of his own importance and by business occupy himself solely in being civil to all the world for though elated by his rank it did not render him on the contrary he was all attention to every body by nature friendly and obliging his at st james s had made him courteous lady was a very good kind of woman not too clever to be a valuable neighbour to mrs they had several children the eldest of them a sensible intelligent young woman about twenty seven was s intimate friend that the miss and the miss should meet to talk over a ball was absolutely necessary and the morning after the assembly brought the former to long to hear and to communicate you began the evening well said mrs with civil self command to miss you were mr s first choice yes but he seemed to like his second better oh you mean jane i suppose because he danced with her twice to be sure that did seem as if he admired her â indeed i rather believe he did â i heard something about it â but i hardly know what â something about mi robinson perhaps you mean what i overheard between him and mr robinson did not i mention it to you mr robinson s asking him how he liked our and whether he did not think there were a great many pretty women in the room and which he thought the prettiest and his answering immediately to the last question oh the eldest miss beyond a doubt there cannot be two opinions on that point and upon my word well that was very decided indeed â that does seem as if but however it may all come to nothing you know my were more to the purpose than yours said mr is not so well worth listening to as his friend is he poor to be only just tolerable i beg you will not put it into s head to be vexed by his ill treatment for he is such a disagreeable man that it would be quite a misfortune to be liked by him mrs long told me last night that he sat close to her for half an hour without once opening his lips are you quite sure ma am is not there a little mistake said jane i certainly saw mr speaking to her ay because she asked him at last how he and he could not help answering her but she said he seemed very angry at being spoke to miss told me said jane that he never speaks much unless among his intimate acquaintance with them he is remarkably agreeable i do not believe a word of it my dear if he had been so very agreeable he would have talked to mrs long but i can guess how it was every body says that he is eat up with pride and i dare say he had heard somehow that mrs long does not keep a carriage and had come to the ball in a hack chaise i do not mind his not talking to mrs long said miss but i wish he had danced with another time said her mother i would not dance with him if i were you i believe ma am i may safely promise you never to dance with him his pride said miss does not offend me so much as pride often does because there 
2,is an excuse for it one cannot wonder that so very fine a young man with family fortune every thing in his favour should think highly of himself if i may so express it he has a right to be proud pride and prejudice that is very true replied elizabeth and i could easily forgive his pride if be had not mine pride observed mary who herself upon the of her reflections is a very common failing i believe by all that i have ever read i am convinced that it is very common indeed that human nature is particularly prone to it and that there are very few of us who do not cherish a feeling of self complacency on the score of some quality or other real or imaginary vanity and pride are different things though the words are often used a person may be proud without being vain pride relates more to our opinion of ourselves vanity to what we would have others think of us if i were as rich as mr cried a young who came with his sisters i should not care how proud i was i would keep a pack of and drink a bottle of wine every day then you would drink a great deal more than you ought said mrs and if i were to see you at it i should take away your bottle directly the boy protested that she should not she continued to declare that she would and the argument ended only with the visit chapter vi the ladies of soon waited on those of the visit was returned in due form miss pleasing manners grew on the good will of mrs and miss and though the mother was to be intolerable and the younger sisters not worth to a wish of being better acquainted with them was expressed towards the two eldest by jane this attention was received with the greatest pleasure but still saw in their treatment of every body hardly excepting even her sister and could not like them though their kindness to jane such as it was had a value as i pride and prejudice arising in all probability from the influence of their brother s admiration it was generally evident whenever they met that he did admire her and to her it was equally evident that jane was yielding to the preference which she had b un to entertain for him from the and was in a way to be very much in love but she considered with pleasure that it was not likely to be discovered by the world in general since jane united with great strength of feelings a composure of temper and an uniform cheerfulness of manner which would guard her firom the suspicions of the impertinent she mentioned this to hei friend miss it may perhaps be pleasant replied to be able to impose on the public in such a case but it is sometimes a disadvantage to be so very guarded if a woman her affection with the same skill m the object of it she may lose the opportunity of fixing him and it will then be but poor consolation to believe the world equally in the dark there is so much of gratitude or vanity in almost every attachment that it is not safe to leave any to itself we can all begin freely â a slight preference is natural enough but there are very few of us who have heart enough to be really in love without encouragement in nine cases out of ten a woman had better show more affection than she feels likes your sister undoubtedly but he may never do more than like her if she does not help him on but she does help him on as much as her nature will allow if can perceive her regard for him he must be a indeed not to discover it too remember â that he does not know jane s disposition as you do but if a woman is partial to a man and does not endeavour to conceal it he must find it out perhaps he must if he sees enough of her but though and jane meet tolerably often it is never for many hours together and as tbey always see each other in large mixed parties it is impossible that every moment should be employed in conversing together jane should therefore make the most of every half hour in which she can command his attention when she is secure pride and prejudice of him there will be leisure for falling in love as much ai she chooses your plan is a good one replied elizabeth when nothing is in question but the desire of being well married and if i were determined to get a rich husband or a iy husband i dare say i should adopt it but these are not jane s feelings she is not acting by as yet she cannot even be certain of the degree of her own r ard nor of its she has known him only a fort night she danced four dances with him at she saw him one morning at his own house and has since dined in company with him four times this is not quite enough to make her understand his character not as you represent it had she merely dined with him she might only have discovered whether he had a good appetite but you must remember that four evenings have been also spent together â and four evenings may do a great deal yes these four evenings have enabled them to ascertain that they both like un better than commerce but with respect to any other leading characteristic i do not imagine that much has been unfolded well said i wish jane success with all my heart and if she were married to him to morrow i should think she had as good a chance of 
2,happiness as if she were to be studying his character for a happiness in marriage is entirely a matter of chance if the dispositions of the parties are ever so well known to each other or ever so similar beforehand it does not their felicity in the least they always continue to grow sufficiently unlike afterwards to have their share of vexation and it is better to know as little as possible of the defects of the person with whom you are to pass your ufe you make me laugh but it is not sound you know it is not sound and that you would never act in this way yourself occupied in observing mr s attentions to her sister elizabeth was far from suspecting that she was herself becoming an object of some interest in the eyes of his pride and prejudice friend mr had at first scarcely allowed her to be pretty he had looked at her without admiration at the ball and when they next met he looked at her only to but no sooner had he made it clear to himself and his friends that she had hardly a good feature in her face than he began to find it was rendered uncommonly intelligent by the beautiful expression of her dark eyes to this discovery succeeded some others equally ing though he had detected with a critical eye more than one failure of perfect in her form he was forced to acknowledge her figure to be light and pleasing and in spite of his asserting that her manners were not those of the fashionable world he was caught by their easy of this she was perfectly unaware to her he was only the man who made himself agreeable nowhere and who had not thought her handsome enough to dance with he began to wish to know more of her and as a step towards conversing with her himself attended to her con with others his doing so drew her notice it was at sir william s where a large party were assembled what does mr mean said she to by listening to my conversation with colonel that is a question which mr only can answer but if he does it any more i shall certainly let him know that i see what he is about he has a very eye and if i do not begin by being impertinent myself j shall soon grow afraid of on his approaching them soon afterwards though without seeming to have any intention of speaking miss defied her friend to mention such a subject to him which immediately provoking elizabeth to do it she turned to him and said â did not you think mr that i expressed myself well just now when i was colonel to give us a ball at with great energy but it is a subject which makes a lady energetic pride and prejudice ft you are severe on us it will be her turn soon to be said i am going to open the instrument and you know what follows you are a very strange creature by way of a friend â always wanting ine to play and sing before any body and every body if my vanity had taken a you would have been invaluable but as it is i would really rather not sit down before those who must be in the habit of hearing the very best on miss s however she added very well if it must be so it must and gravely glancing at mr there is a very fine old saying which every body here is of course familiar with â keep your breath to cool your â and i shall keep mine to swell my song her performance was pleasing though by no means capital after a song or two and before she could reply to the entreaties of several that she would sing again she was eagerly succeeded at the instrument by her sister mary who having in consequence of being the only plain one in the family worked hard for knowledge and accomplishments was always impatient for display mary had neither genius nor taste and though vanity had given her application it had given her likewise a air and conceited manner which would have injured a higher degree of excellence than she had reached â li easy and unaffected had been listened to with much more pleasure though not playing half so well and mary at the end of a long was glad to purchase praise and gratitude by scotch and irish airs at the request of her sisters who with some of the and two or three officers joined eagerly in at one end of the room mr stood near them in silent indignation at such a mode of passing the evening to the of all con and was too much engrossed by his own thoughts to perceive that sir william was his neighbour till sir william thus began â what a charming amusement for young people this is mr there is nothing like dancing after all i pride and prejudice â i consider it as one of the first of polished societies certainly sir and it has the advantage also of being in amongst the less polished societies of the world every savage can dance sir william only smiled your friend de he continued after a pause on seeing join tlie group and i not that you are an in the science yourself mr you saw me dance at i eve sir yes indeed and received no pleasure from the sight do you often dance at st james s never sir do you not think it would be a proper compliment to the place it is a compliment which i never pay to any place if i can avoid it you have a house in town conclude mr bowed i had once some thoughts of fixing in town myself for i am fond of 
2,superior society but i did not feel quite certain that the air of london would agree with lady he paused in hopes of an answer but his companion was not disposed to make any and elizabeth at that instant moving towards them he was struck with the notion of doing a very gallant thing and called out to her â my dear miss â why are not you dancing mr you must allow me to present this young lady to you as a very desirable partner you cannot refuse to dance i am sure when so much beauty is before you and taking her hand he would have given it to mr who though extremely surprised was not unwilling to receive it when she instantly drew back and said with some to sir william â indeed sir i have not the least intention of dancing i entreat you not to suppose that i moved this way in order to beg for a partner mr with grave propriety requested to be allowed the honour of her hand but in vain elizabeth was de c c c pride and prejudice nor did sir william at all shake her purpose h his attempt at persuasion you so much in the dance miss that it is cruel to deny me the happiness of seeing you and though this gentleman the amusement in general he can have no i am sure to us for one half hour mr is all politeness said smiling he is indeed hut considering the my dear miss we cannot wonder at his for who would to such a partner elizabeth looked and turned away her resistance had not injured her with the gentleman and he was thinking of her with some complacency when thus by miss â i can guess the subject of your reverie i should imagine not you are considering how it would be to pass many evenings in this manner â in such society and indeed i quite of your opinion i was never more annoyed the and yet the noise â the and yet the self importance of all these people what would i give to hear your on them your conjecture is totally wrong i assure you my mind was more agreeably engaged i have been on the very great pleasure which a pair of fine eyes in the face of a pretty woman can bestow miss immediately fixed her eyes on his face and desired he would tell her what lady had the credit of inspiring such reflections mr replied with great â miss elizabeth â miss elizabeth repeated miss i am all astonishment how long has she been such a favourite and pray when am i to wish you joy that is exactly the question which i expected you to ask a lady s imagination is very rapid it from admiration to love from love to matrimony in a moment i knew you would be wishing me joy nay if you are so serious about it i shall consider pride and prejudice s the matter as absolutely settled you will have a charming mother in indeed and of course she will be always at with you he listened to her with perfect indifference while she chose to entertain herself in this manner and as his composure her that all was safe her wit flowed long chapter vii mb s property consisted almost entirely in an estate of two thousand a year which unfortunately for his daughters was in of male on a distant relation and their mother s fortune though ample for her situation in could but ill supply the deficiency of his her father had been an attorney in and had left her four thousand pounds she had a sister married to a mr who had been a clerk to their father and succeeded him in the business and a brother settled in london in a respectable line of trade the village of was only one mile from a most convenient distance for the young ladies who were usually tempted thither three or four times a week to pay their duty to their aunt and to a s shop just over the way the two youngest of the family and were particularly frequent in these attentions their minds were more vacant than their sisters and when nothing better offered a walk to was necessary to amuse their morning hours and furnish conversation for the evening and however bare of news the country in general might be they always contrived to learn some from their aunt at present indeed they were well supplied both with news and happiness by the recent ar rival of a regiment in the neighbourhood it was to remain the whole winter and was the head quarters c pride and prejudice their visits to mrs were now productive of the most interesting intelligence every day added something to their knowledge of the officers names and connections their lodgings were not long a secret and at length they began to know the officers themselves mr visited them all and this opened to his a source of felicity unknown before they could talk of nothing but officers and mr s large fortune the mention of which gave animation to their mother was worthless in their eyes when opposed to the of an after listening one morning to their on this subject mr coolly observed â from all that i can collect by your manner of talking you must be two of the girls in the country i have suspected it some time but i am now convinced was disconcerted and made no answer but with perfect indifference continued to express her admiration of captain and her hope of seeing him in the course of the day as he was going die next morning to london i am astonished my dear said mrs that you should be so to think your own children silly if i wished to think of any body 
2,s children it should not be of my own however if my children are silly j must hope to be always sensible of it yes but as it happens they are all of them very clever this is the only point i flatter myself on which we do not agree i had hoped that our sentiments in every particular but i must so far differ from you as to think our two youngest daughters uncommonly foolish my dear mr you must not expect such girls to have the sense of their father and mother when they get to our age i dare say they will not think about officers any more than we do i remember the time when i liked a red coat myself very well â and indeed so i do still at my heart and if a smart young colonel with ye or six thousand a year should want one of my girls i shall not nay nay to him and i thought v nâ t pride and prejudice becoming the other night at sir william s in his r i mamma cried my aunt says that colonel i and captain do not go so often to miss s as they did when they first came she sees them now very often standing in s library mrs was prevented replying by the entrance of the footman with a note for miss it came from and the servant waited for an answer mrs s eyes sparkled with pleasure and she was eagerly calling out while her daughter read â well jane who is it from is it about what does he say well jane make haste and tell us make haste my love it is from miss said jane and then read it aloud my dear friend if you are not so compassionate as to dine to day with and me we shall be in danger of each other for the rest of our lives for a whole day s d between two women can never end without a quarrel come as soon as you can on the receipt of this my brother and the gentlemen are to dine with the officers yours ever with the officers cried i wonder my aunt did not tell us of that dining out said mrs that is very un can i have the carriage said jane no my dear you had better go on horseback because t seems likely to rain and then you must stay all night that would be a good scheme said elizabeth if oa were sure that they would not offer to send her home oh but the gentlemen will have mr s chaise go to and the have no horses to theirs i had much rather go in the coach my your father cannot spare x pride and prejudice am sure they are wanted in the mr are not they they are wanted in the farm much oftener than i can get them but if you have got them to day said my mother s purpose will he answered she did at last from her father an acknowledgment that the horses were engaged jane was therefore to go on and her mother attended her to the door with many of a had day her hopes were answered jane had not heen gone long it rained hard her sisters were uneasy for her hut her mother was delighted the rain continued the whole evening without jane certainly could not come hack this was a lucky idea of mine indeed said mrs more than once as if the credit of making it rain were all her own till the next morning however she was not aware of all the felicity of her contrivance breakfast was scarcely over when a servant from the following note for â â my dearest i find myself very this morning which i suppose is to he to my getting wet through yesterday my kind friends will not hear of my returning home till i am they insist also on my seeing mr jones â therefore do not he alarmed if you should hear of his having heen to me â and excepting a and headache there is not much the matter with me yours c well my dear said mr when elizabeth had read the note aloud if your daughter should have a dangerous fit of illness if she should die it would be a comfort to know that it was all in pursuit of mr and under your orders oh i am not at all afraid of her dying people do not die of little trifling she will he taken good care pride and prejudice of as long as she stays there it is all very well i would go and see her if i could have the carriage elizabeth feeling really anxious was determined to go to her though the carriage was not to be had and as she was no walking was her only alternative she declared her resolution how can you he so silly cried her mother as to think of such a thing in all this dirt you will not be fit to be seen when you get there i shall be very fit to see jane â which is all i want is this a hint to me said her father to send for the horses no indeed i do not wish to avoid the walk the distance is nothing when one has a motive only three miles i shall be back by dinner i admire the activity of your benevolence observed mary but every impulse of feeling should be guided by reason and in my opinion exertion should always be in proportion to what is required we will go as far as with you said and elizabeth accepted their company and the three young ladies set off together if we make haste said as they walked along perhaps we may see something of captain before he 
3,goes in they parted the two youngest repaired to the lodgings of one of the officers and elizabeth continued her walk alone crossing field after field at a quick pace jumping over and springing over with impatient activity and finding herself at last within view of the house with weary ankles dirty stockings and a face glowing with the warmth of exercise she was into the breakfast parlour where all but jane were assembled and where her appearance created a great deal of surprise that she should have walked three miles so early in the day in such dirty weather and by herself was almost incredible to mrs and miss and elizabeth was convinced that they held her in contempt for it she was received however very politely by them and in their brother s manners there was and prejudice something better than politeness there was ood humour and kindness mr said very little and mr nothing at all the former was divided between admiration oâ the brilliancy which exercise had given to her complexion and doubt as to the occasion s her coming so far alone the latter was thinking only of his breakfast her after her sister were not very answered miss had slept ill and though up was very feverish and not well enough to leave her room elizabeth was glad to be taken to her immediately and jane who had only been withheld by the fear of giving alarm or inconvenience from expressing in her note how much she longed for such a visit was delighted at her entrance she was not equal however to much conversation and when miss left them together could attempt little beside expressions of gratitude for the ex kindness was treated with elizabeth silently attended her when breakfast was over they were joined by the sisters and elizabeth began to like them herself when she saw how much affection and solicitude they showed for jane the came and having examined his patient said as might be supposed that she had caught a violent cold and that they must endeavour to get the better of it advised her to return to bed and promised her some draughts the advice was followed readily for the feverish symptoms increased and her head ached elizabeth did not quit her room for a moment nor were the other ladies often absent the gentlemen being out they had in fact nothing to do elsewhere when the clock struck three elizabeth felt that she must go and very unwillingly said so miss offered her the carriage and she only wanted a little pressing to accept it when jane such concern in parting with her that miss was obliged to convert the offer of the chaise into an invitation to remain at for the present elizabeth most consented and a servant was despatched to to the family with stay ba ck supply of clothes and chapter viii o clock the two ladies retired to dress and at half c elizabeth was summoned to dinner to the civil es which then poured in and amongst which she pleasure of the much superior mr s she could not make a very jane was by no means better the sisters ring this repeated three or four times how much ere grieved how shocking it was to have a bad ind how excessively they disliked being iu them and then thought no more of the matter and their ence towards jane when not immediately before elizabeth to the enjoyment of all her ike ir brother indeed was the only one of the party she could regard with any complacency his for jane was evident and his attentions to herself and they prevented her feeling herself so n intruder as she believed she was considered by ers she had very little notice from any but him was engrossed by mr her sister r less so and as for mr by whom he was an indolent man who lived only to eat ind play at cards who when he found her prefer a to a had nothing to say to her n dinner was over she returned directly to jane ss began her as soon as she was out her manners were pronounced to be very â a mixture of pride and impertinence she had no style no taste no beauty mrs the same and added â e has nothing in to recommend her but n excellent i shall never forget her this morning she really looked t did indeed i co ld very to come and prejudice she be about the country because her sister had a cold her hair so so yes and her i hope you saw her six inches deep in mud i am absolutely certain and the gown which had been let down to hide it not doing its your picture may be very exact said but this was all lost upon me i thought miss elizabeth looked remarkably well when she came into the room this morning her dirty quite escaped my notice you observed it mr i am sure said miss and i am inclined to think that you would not wish to see your sister make such an exhibition certainly not to walk three miles or four miles or five miles or whatever it is above her ankles in dirt and alone quite alone what could she mean by it it seems to me to show an abominable sort of conceited independence a most country town indifference to decorum it shows an affection for her sister that is very ing said am afraid mr observed miss in a half whisper that this adventure has rather affected your admiration of her fine eyes not at all he replied they were brightened by the exercise a short pause followed this speech and mrs began again â i have an excessive regard for jane â she is really a very sweet girl â and i wish with all my heart 
